benchmark,num_bees,neighbors_per_bee,local_depth,iteration,makespan
1,5,,10,1000,1792
1,5,,10,2000,1878
1,5,,10,3000,1830
1,5,,10,4000,1740
1,5,,10,5000,1869
1,5,,10,6000,1759
1,5,,10,7000,1743
1,5,,10,8000,1775
1,5,,10,9000,1714
1,5,,10,10000,1798
1,5,,20,1000,1726
1,5,,20,2000,1726
1,5,,20,3000,1718
1,5,,20,4000,1787
1,5,,20,5000,1661
1,5,,20,6000,1673
1,5,,20,7000,1762
1,5,,20,8000,1685
1,5,,20,9000,1733
1,5,,20,10000,1730
1,10,,10,1000,1616
1,10,,10,2000,1641
1,10,,10,3000,1679
1,10,,10,4000,1609
1,10,,10,5000,1619
1,10,,10,6000,1661
1,10,,10,7000,1543
1,10,,10,8000,1594
1,10,,10,9000,1697
1,10,,10,10000,1674
1,10,,20,1000,1603
1,10,,20,2000,1566
1,10,,20,3000,1560
1,10,,20,4000,1621
1,10,,20,5000,1619
1,10,,20,6000,1599
1,10,,20,7000,1591
1,10,,20,8000,1615
1,10,,20,9000,1660
1,10,,20,10000,1624
1,20,,10,1000,1571
1,20,,10,2000,1522
1,20,,10,3000,1585
1,20,,10,4000,1537
1,20,,10,5000,1527
1,20,,10,6000,1563
1,20,,10,7000,1517
1,20,,10,8000,1516
1,20,,10,9000,1504
1,20,,10,10000,1525
1,20,,20,1000,1515
1,20,,20,2000,1525
1,20,,20,3000,1482
1,20,,20,4000,1506
1,20,,20,5000,1515
1,20,,20,6000,1516
1,20,,20,7000,1503
1,20,,20,8000,1496
1,20,,20,9000,1503
1,20,,20,10000,1506
2,5,,10,1000,1808
2,5,,10,2000,1702
2,5,,10,3000,1790
2,5,,10,4000,1893
2,5,,10,5000,1750
2,5,,10,6000,1734
2,5,,10,7000,1840
2,5,,10,8000,1785
2,5,,10,9000,1764
2,5,,10,10000,1785
2,5,,20,1000,1768
2,5,,20,2000,1757
2,5,,20,3000,1676
2,5,,20,4000,1819
2,5,,20,5000,1753
2,5,,20,6000,1801
2,5,,20,7000,1824
2,5,,20,8000,1750
2,5,,20,9000,1759
2,5,,20,10000,1776
2,10,,10,1000,1651
2,10,,10,2000,1742
2,10,,10,3000,1645
2,10,,10,4000,1689
2,10,,10,5000,1686
2,10,,10,6000,1725
2,10,,10,7000,1665
2,10,,10,8000,1612
2,10,,10,9000,1651
2,10,,10,10000,1608
2,10,,20,1000,1627
2,10,,20,2000,1631
2,10,,20,3000,1584
2,10,,20,4000,1644
2,10,,20,5000,1557
2,10,,20,6000,1586
2,10,,20,7000,1583
2,10,,20,8000,1606
2,10,,20,9000,1675
2,10,,20,10000,1571
2,20,,10,1000,1639
2,20,,10,2000,1532
2,20,,10,3000,1569
2,20,,10,4000,1546
2,20,,10,5000,1543
2,20,,10,6000,1568
2,20,,10,7000,1524
2,20,,10,8000,1511
2,20,,10,9000,1504
2,20,,10,10000,1568
2,20,,20,1000,1570
2,20,,20,2000,1588
2,20,,20,3000,1573
2,20,,20,4000,1575
2,20,,20,5000,1537
2,20,,20,6000,1540
2,20,,20,7000,1560
2,20,,20,8000,1545
2,20,,20,9000,1581
2,20,,20,10000,1555
3,5,,10,1000,1802
3,5,,10,2000,1791
3,5,,10,3000,1817
3,5,,10,4000,1677
3,5,,10,5000,1667
3,5,,10,6000,1752
3,5,,10,7000,1795
3,5,,10,8000,1659
3,5,,10,9000,1722
3,5,,10,10000,1802
3,5,,20,1000,1645
3,5,,20,2000,1725
3,5,,20,3000,1686
3,5,,20,4000,1698
3,5,,20,5000,1726
3,5,,20,6000,1665
3,5,,20,7000,1604
3,5,,20,8000,1731
3,5,,20,9000,1738
3,5,,20,10000,1723
3,10,,10,1000,1543
3,10,,10,2000,1605
3,10,,10,3000,1668
3,10,,10,4000,1596
3,10,,10,5000,1594
3,10,,10,6000,1613
3,10,,10,7000,1643
3,10,,10,8000,1635
3,10,,10,9000,1559
3,10,,10,10000,1571
3,10,,20,1000,1642
3,10,,20,2000,1600
3,10,,20,3000,1618
3,10,,20,4000,1605
3,10,,20,5000,1589
3,10,,20,6000,1651
3,10,,20,7000,1523
3,10,,20,8000,1559
3,10,,20,9000,1594
3,10,,20,10000,1564
3,20,,10,1000,1601
3,20,,10,2000,1534
3,20,,10,3000,1513
3,20,,10,4000,1536
3,20,,10,5000,1572
3,20,,10,6000,1530
3,20,,10,7000,1559
3,20,,10,8000,1532
3,20,,10,9000,1569
3,20,,10,10000,1553
3,20,,20,1000,1525
3,20,,20,2000,1491
3,20,,20,3000,1514
3,20,,20,4000,1490
3,20,,20,5000,1493
3,20,,20,6000,1497
3,20,,20,7000,1501
3,20,,20,8000,1498
3,20,,20,9000,1514
3,20,,20,10000,1466
4,5,,10,1000,1717
4,5,,10,2000,1709
4,5,,10,3000,1645
4,5,,10,4000,1698
4,5,,10,5000,1702
4,5,,10,6000,1695
4,5,,10,7000,1710
4,5,,10,8000,1758
4,5,,10,9000,1734
4,5,,10,10000,1698
4,5,,20,1000,1645
4,5,,20,2000,1684
4,5,,20,3000,1599
4,5,,20,4000,1666
4,5,,20,5000,1681
4,5,,20,6000,1585
4,5,,20,7000,1599
4,5,,20,8000,1692
4,5,,20,9000,1671
4,5,,20,10000,1586
4,10,,10,1000,1563
4,10,,10,2000,1541
4,10,,10,3000,1542
4,10,,10,4000,1563
4,10,,10,5000,1633
4,10,,10,6000,1575
4,10,,10,7000,1570
4,10,,10,8000,1532
4,10,,10,9000,1545
4,10,,10,10000,1550
4,10,,20,1000,1504
4,10,,20,2000,1636
4,10,,20,3000,1540
4,10,,20,4000,1532
4,10,,20,5000,1554
4,10,,20,6000,1593
4,10,,20,7000,1526
4,10,,20,8000,1586
4,10,,20,9000,1534
4,10,,20,10000,1532
4,20,,10,1000,1523
4,20,,10,2000,1490
4,20,,10,3000,1564
4,20,,10,4000,1512
4,20,,10,5000,1559
4,20,,10,6000,1487
4,20,,10,7000,1458
4,20,,10,8000,1495
4,20,,10,9000,1552
4,20,,10,10000,1493
4,20,,20,1000,1551
4,20,,20,2000,1517
4,20,,20,3000,1499
4,20,,20,4000,1492
4,20,,20,5000,1510
4,20,,20,6000,1528
4,20,,20,7000,1494
4,20,,20,8000,1471
4,20,,20,9000,1485
4,20,,20,10000,1473
5,5,,10,1000,1715
5,5,,10,2000,1778
5,5,,10,3000,1723
5,5,,10,4000,1894
5,5,,10,5000,1796
5,5,,10,6000,1800
5,5,,10,7000,1917
5,5,,10,8000,1811
5,5,,10,9000,1757
5,5,,10,10000,1809
5,5,,20,1000,1736
5,5,,20,2000,1734
5,5,,20,3000,1717
5,5,,20,4000,1819
5,5,,20,5000,1689
5,5,,20,6000,1636
5,5,,20,7000,1766
5,5,,20,8000,1719
5,5,,20,9000,1816
5,5,,20,10000,1759
5,10,,10,1000,1649
5,10,,10,2000,1572
5,10,,10,3000,1680
5,10,,10,4000,1740
5,10,,10,5000,1651
5,10,,10,6000,1657
5,10,,10,7000,1654
5,10,,10,8000,1621
5,10,,10,9000,1607
5,10,,10,10000,1679
5,10,,20,1000,1606
5,10,,20,2000,1601
5,10,,20,3000,1600
5,10,,20,4000,1597
5,10,,20,5000,1560
5,10,,20,6000,1555
5,10,,20,7000,1602
5,10,,20,8000,1619
5,10,,20,9000,1517
5,10,,20,10000,1613
5,20,,10,1000,1524
5,20,,10,2000,1569
5,20,,10,3000,1544
5,20,,10,4000,1536
5,20,,10,5000,1554
5,20,,10,6000,1533
5,20,,10,7000,1552
5,20,,10,8000,1526
5,20,,10,9000,1608
5,20,,10,10000,1570
5,20,,20,1000,1561
5,20,,20,2000,1502
5,20,,20,3000,1492
5,20,,20,4000,1510
5,20,,20,5000,1524
5,20,,20,6000,1521
5,20,,20,7000,1542
5,20,,20,8000,1526
5,20,,20,9000,1533
5,20,,20,10000,1507
6,5,,10,1000,1758
6,5,,10,2000,1813
6,5,,10,3000,1811
6,5,,10,4000,1709
6,5,,10,5000,1701
6,5,,10,6000,1874
6,5,,10,7000,1832
6,5,,10,8000,1731
6,5,,10,9000,1847
6,5,,10,10000,1693
6,5,,20,1000,1757
6,5,,20,2000,1783
6,5,,20,3000,1773
6,5,,20,4000,1801
6,5,,20,5000,1719
6,5,,20,6000,1704
6,5,,20,7000,1771
6,5,,20,8000,1761
6,5,,20,9000,1717
6,5,,20,10000,1685
6,10,,10,1000,1649
6,10,,10,2000,1669
6,10,,10,3000,1623
6,10,,10,4000,1689
6,10,,10,5000,1592
6,10,,10,6000,1618
6,10,,10,7000,1659
6,10,,10,8000,1665
6,10,,10,9000,1719
6,10,,10,10000,1631
6,10,,20,1000,1613
6,10,,20,2000,1665
6,10,,20,3000,1610
6,10,,20,4000,1634
6,10,,20,5000,1571
6,10,,20,6000,1600
6,10,,20,7000,1579
6,10,,20,8000,1654
6,10,,20,9000,1619
6,10,,20,10000,1602
6,20,,10,1000,1503
6,20,,10,2000,1459
6,20,,10,3000,1533
6,20,,10,4000,1515
6,20,,10,5000,1524
6,20,,10,6000,1540
6,20,,10,7000,1511
6,20,,10,8000,1571
6,20,,10,9000,1597
6,20,,10,10000,1584
6,20,,20,1000,1574
6,20,,20,2000,1564
6,20,,20,3000,1535
6,20,,20,4000,1534
6,20,,20,5000,1504
6,20,,20,6000,1546
6,20,,20,7000,1530
6,20,,20,8000,1500
6,20,,20,9000,1554
6,20,,20,10000,1504
7,5,,10,1000,1884
7,5,,10,2000,1807
7,5,,10,3000,1835
7,5,,10,4000,1775
7,5,,10,5000,1869
7,5,,10,6000,1774
7,5,,10,7000,1801
7,5,,10,8000,1772
7,5,,10,9000,1726
7,5,,10,10000,1820
7,5,,20,1000,1836
7,5,,20,2000,1758
7,5,,20,3000,1826
7,5,,20,4000,1818
7,5,,20,5000,1779
7,5,,20,6000,1763
7,5,,20,7000,1780
7,5,,20,8000,1763
7,5,,20,9000,1896
7,5,,20,10000,1755
7,10,,10,1000,1760
7,10,,10,2000,1699
7,10,,10,3000,1723
7,10,,10,4000,1710
7,10,,10,5000,1696
7,10,,10,6000,1702
7,10,,10,7000,1764
7,10,,10,8000,1716
7,10,,10,9000,1728
7,10,,10,10000,1665
7,10,,20,1000,1659
7,10,,20,2000,1660
7,10,,20,3000,1601
7,10,,20,4000,1628
7,10,,20,5000,1613
7,10,,20,6000,1620
7,10,,20,7000,1694
7,10,,20,8000,1605
7,10,,20,9000,1694
7,10,,20,10000,1706
7,20,,10,1000,1600
7,20,,10,2000,1634
7,20,,10,3000,1626
7,20,,10,4000,1636
7,20,,10,5000,1618
7,20,,10,6000,1624
7,20,,10,7000,1687
7,20,,10,8000,1686
7,20,,10,9000,1643
