Temp,CoolingRate,ReheatInt,ReheatTemp,FinalCost
500,0.001,0,600,1794
500,0.001,0,800,1702
500,0.001,1000,600,2204
500,0.001,1000,800,2250
500,0.003,0,600,1616
500,0.003,0,800,1643
500,0.003,1000,600,2071
500,0.003,1000,800,2003
500,0.005,0,600,1657
500,0.005,0,800,1753
500,0.005,1000,600,1903
500,0.005,1000,800,1916
1000,0.001,0,600,1764
1000,0.001,0,800,1826
1000,0.001,1000,600,2181
1000,0.001,1000,800,2295
1000,0.003,0,600,1651
1000,0.003,0,800,1652
1000,0.003,1000,600,2046
1000,0.003,1000,800,2073
1000,0.005,0,600,1695
1000,0.005,0,800,1753
1000,0.005,1000,600,1928
1000,0.005,1000,800,1905
